#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
2.464929859719438809e+01 2.123459124074545540e-02
2.472945891783567163e+01 1.947124997126694484e-02
2.480961923847695516e+01 1.807409694157982236e-02
2.488977955911823869e+01 1.721756990368232890e-02
2.496993987975952223e+01 1.626737852300309817e-02
2.505010020040080221e+01 1.590265493561770702e-02
2.513026052104208219e+01 1.567345781341574970e-02
2.521042084168336572e+01 1.491015260111742263e-02
2.529058116232464926e+01 1.423118392812679385e-02
2.537074148296593279e+01 1.330780811080708309e-02
2.545090180360721632e+01 1.250977429690026607e-02
2.553106212424849986e+01 1.155095319531383204e-02
2.561122244488977984e+01 1.048489452565336093e-02
2.569138276553105982e+01 9.319754437874354369e-03
2.577154308617234335e+01 8.062054570677996967e-03
2.585170340681362688e+01 6.780437639543296195e-03
2.593186372745491042e+01 5.719468878038768550e-03
2.601202404809619395e+01 4.783858124089945124e-03
2.609218436873747748e+01 4.173151875271619883e-03
2.617234468937876102e+01 3.551773181407440107e-03
2.625250501002004100e+01 3.006862554810147380e-03
2.633266533066132098e+01 2.524614507859196649e-03
2.641282565130260451e+01 2.261223619616482394e-03
2.649298597194388805e+01 2.227485625053462516e-03
2.657314629258517158e+01 2.207570503067037958e-03
2.665330661322645511e+01 2.225985375833576703e-03
2.673346693386773865e+01 2.075561507245271466e-03
2.681362725450901863e+01 1.724761101600542218e-03
2.689378757515029861e+01 1.268272574696068921e-03
2.697394789579158214e+01 9.602451790150045132e-04
2.705410821643286567e+01 8.673326078698797128e-04
2.713426853707414921e+01 7.472410415694105083e-04
2.721442885771543274e+01 6.052060006385476514e-04
2.729458917835671627e+01 4.458862249664428197e-04
2.737474949899799626e+01 3.030663771925911818e-04
2.745490981963927624e+01 1.857748605121285540e-04
2.753507014028055977e+01 1.072020803752100627e-04
2.761523046092184330e+01 2.501094868287383126e-05
2.769539078156312684e+01 0.000000000000000000e+00
2.777555110220441037e+01 0.000000000000000000e+00
2.785571142284569390e+01 0.000000000000000000e+00
2.793587174348697744e+01 0.000000000000000000e+00
2.801603206412825386e+01 0.000000000000000000e+00
2.809619238476953740e+01 0.000000000000000000e+00
2.817635270541082093e+01 0.000000000000000000e+00
2.825651302605210446e+01 0.000000000000000000e+00
2.833667334669338800e+01 0.000000000000000000e+00
2.841683366733467153e+01 0.000000000000000000e+00
2.849699398797595506e+01 0.000000000000000000e+00
2.857715430861723505e+01 0.000000000000000000e+00
2.865731462925851503e+01 0.000000000000000000e+00
2.873747494989979856e+01 0.000000000000000000e+00
2.881763527054108209e+01 0.000000000000000000e+00
2.889779559118236563e+01 0.000000000000000000e+00
2.897795591182364916e+01 0.000000000000000000e+00
2.905811623246493269e+01 0.000000000000000000e+00
2.913827655310621267e+01 0.000000000000000000e+00
2.921843687374749265e+01 0.000000000000000000e+00
2.929859719438877619e+01 0.000000000000000000e+00
2.937875751503005972e+01 0.000000000000000000e+00
2.945891783567134325e+01 0.000000000000000000e+00
2.953907815631262679e+01 0.000000000000000000e+00
2.961923847695391032e+01 0.000000000000000000e+00
2.969939879759519386e+01 0.000000000000000000e+00
2.977955911823647028e+01 0.000000000000000000e+00
2.985971943887775382e+01 0.000000000000000000e+00
2.993987975951903735e+01 0.000000000000000000e+00
3.002004008016032088e+01 0.000000000000000000e+00
3.010020040080160442e+01 0.000000000000000000e+00
3.018036072144288795e+01 0.000000000000000000e+00
3.026052104208417148e+01 0.000000000000000000e+00
3.034068136272545146e+01 0.000000000000000000e+00
3.042084168336673144e+01 0.000000000000000000e+00
3.050100200400801498e+01 0.000000000000000000e+00
3.058116232464929851e+01 0.000000000000000000e+00
3.066132264529058205e+01 0.000000000000000000e+00
3.074148296593186558e+01 0.000000000000000000e+00
3.082164328657314911e+01 0.000000000000000000e+00
3.090180360721442909e+01 0.000000000000000000e+00
3.098196392785570907e+01 0.000000000000000000e+00
3.106212424849699261e+01 0.000000000000000000e+00
3.114228456913827614e+01 0.000000000000000000e+00
3.122244488977955967e+01 0.000000000000000000e+00
3.130260521042084321e+01 0.000000000000000000e+00
3.138276553106212674e+01 0.000000000000000000e+00
3.146292585170341027e+01 0.000000000000000000e+00
3.154308617234468670e+01 0.000000000000000000e+00
3.162324649298597024e+01 0.000000000000000000e+00
3.170340681362725377e+01 0.000000000000000000e+00
3.178356713426853730e+01 0.000000000000000000e+00
3.186372745490982084e+01 0.000000000000000000e+00
3.194388777555110437e+01 0.000000000000000000e+00
3.202404809619238790e+01 0.000000000000000000e+00
3.210420841683367144e+01 0.000000000000000000e+00
3.218436873747494786e+01 0.000000000000000000e+00
3.226452905811623140e+01 0.000000000000000000e+00
3.234468937875751493e+01 0.000000000000000000e+00
3.242484969939879846e+01 0.000000000000000000e+00
3.250501002004008200e+01 0.000000000000000000e+00
3.258517034068136553e+01 0.000000000000000000e+00
3.266533066132264196e+01 0.000000000000000000e+00
3.274549098196392549e+01 0.000000000000000000e+00
3.282565130260520903e+01 0.000000000000000000e+00
3.290581162324649256e+01 0.000000000000000000e+00
3.298597194388777609e+01 0.000000000000000000e+00
3.306613226452905963e+01 0.000000000000000000e+00
3.314629258517034316e+01 0.000000000000000000e+00
3.322645290581162669e+01 0.000000000000000000e+00
3.330661322645291023e+01 0.000000000000000000e+00
3.338677354709418665e+01 0.000000000000000000e+00
