FLUX_BATSE_64,T90,FLUENCE_BATSE,PFLX_COMP_EPEAK,TRIGGER_TIME
3.7627,0.336,7.1231e-08,321.9956,57787.486410358
7.474,0.256,3.2807e-07,452.4891,55495.034214584
7.2225,0.16,1.8032e-07,620.4216,59681.7130676
3.3191,0.128,8.5988e-08,198.2088,54771.490648818
1.7326,0.384,7.7764e-08,254.8823,57442.910681372
0.6851,0.128,1.1691e-08,0.0,60478.59908141
1.9021,0.192,5.3127e-08,0.0,61082.891971463
8.7222,0.576,5.7803e-07,877.6862,55529.725987736
8.1087,0.32,1.8496e-07,589.1711,57271.943603088
0.9651,0.768,6.4876e-08,0.0,60835.366187618
2.2717,1.344,1.0457e-07,0.0,60874.295602947
3.7079,0.896,1.4265e-07,0.0,60723.324602132
6.2348,1.856,3.7796e-07,565.8079,57943.333610873
2.6373,0.832,1.0465e-07,0.0,59321.956794466
3.8923,1.344,1.3155e-07,0.0,59308.14123146
4.404,0.384,1.0317e-07,881.7613,59973.253716986
1.3737,1.088,1.3407e-07,0.0,59814.145050759
5.242,0.08,6.4836e-08,232.6574,58317.081766214
2.7814,1.664,9.0563e-08,684.873,57461.473211666
0.7209,1.472,1.2761e-07,0.0,60546.549498828
6.9548,0.704,2.8081e-07,432.2994,58731.985051952
2.3417,0.832,7.2532e-08,667.3471,60599.467131141
2.0083,0.576,7.6575e-08,133.2002,57124.507369695
4.241,0.192,1.365e-07,206.6331,55363.77260296
3.9771,0.832,1.7322e-07,915.3809,54921.680791496
1.736,0.512,1.1542e-07,0.0,57068.026002282
3.7854,0.128,5.5579e-08,224.9422,58014.139153701
50.4184,0.04,1.2631e-06,671.3044,57622.671990857
7.486,0.256,3.0944e-07,1244.559,55250.109829935
2.9178,0.288,5.7347e-08,602.7156,59040.036192972
2.416,0.192,1.0829e-07,483.6549,55538.203436522
1.821,1.216,1.325e-07,1013.532,54751.045402581
1.5931,0.96,7.1672e-08,1807.118,56032.891447063
2.9903,0.992,5.2232e-08,74.91448,58914.934320911
4.0058,0.896,2.9936e-07,685.8927,58628.031801524
6.4505,1.344,3.881e-07,0.0,60996.513797946
3.2749,0.32,1.5253e-07,1307.77,56749.007025436
